Parental_OA,treatment,Rep,ID,Generation,Age,Run,Length,n,GR
LOW,Moderate OA,B,23,3,2,6,97.56125926,,
LOW,Moderate OA,C,24,3,2,6,93.15414141,,
MODERATE,Moderate OA,A,25,3,2,6,101.4321053,,
MODERATE,Moderate OA,B,26,3,2,6,90.299,,
MODERATE,Moderate OA,C,27,3,2,6,93.42444444,,
HIGH,High OA,A,1,3,7,6,123.1835632,,
HIGH,High OA,B,2,3,7,6,117.6393333,,
HIGH,High OA,C,3,3,7,6,111.3491358,,
LOW,High OA,A,4,3,7,6,99.74333333,,
LOW,High OA,B,5,3,7,6,111.57,,
LOW,High OA,C,6,3,7,6,114.3709375,,
MODERATE,High OA,A,7,3,7,6,108.9764444,,
MODERATE,High OA,B,8,3,7,6,114.5962667,,
MODERATE,High OA,C,9,3,7,6,123.4781333,,
HIGH,Low OA,A,10,3,7,6,122.1200709,,
HIGH,Low OA,B,11,3,7,6,121.347027,,
HIGH,Low OA,C,12,3,7,6,118.5011795,,
LOW,Low OA,A,13,3,7,6,116.7698214,,
LOW,Low OA,B,14,3,7,6,120.1264912,,
MODERATE,Low OA,A,16,3,7,6,116.4784921,,
MODERATE,Low OA,B,17,3,7,6,125.2170667,,
MODERATE,Low OA,C,18,3,7,6,110.6985556,,
HIGH,Moderate OA,A,19,3,7,6,117.6334146,,
HIGH,Moderate OA,B,20,3,7,6,117.2879279,,
HIGH,Moderate OA,C,21,3,7,6,123.9994203,,
LOW,Moderate OA,A,22,3,7,6,118.0944025,,
LOW,Moderate OA,B,23,3,7,6,118.0489524,,
LOW,Moderate OA,C,24,3,7,6,122.317963,,
MODERATE,Moderate OA,A,25,3,7,6,121.0674167,,
MODERATE,Moderate OA,B,26,3,7,6,113.0559857,,
HIGH,High OA,A,1,3,14,6,177.1355769,,
HIGH,High OA,B,2,3,14,6,174.0030208,,
HIGH,High OA,C,3,3,14,6,169.2850855,,
LOW,High OA,A,4,3,14,6,177.2718868,,
LOW,High OA,B,5,3,14,6,164.2394203,,
LOW,High OA,C,6,3,14,6,170.1290395,,
MODERATE,High OA,A,7,3,14,6,163.41625,,
MODERATE,High OA,B,8,3,14,6,159.7327778,,
MODERATE,High OA,C,9,3,14,6,171.1474843,,
HIGH,Low OA,A,10,3,14,6,180.8132843,,
HIGH,Low OA,B,11,3,14,6,184.1425641,,
HIGH,Low OA,C,12,3,14,6,165.7718519,,
LOW,Low OA,A,13,3,14,6,177.9555102,,
LOW,Low OA,B,14,3,14,6,176.0912568,,
LOW,Low OA,C,15,3,14,6,158.8885185,,
MODERATE,Low OA,A,16,3,14,6,166.0593617,,
MODERATE,Low OA,B,17,3,14,6,155.4088596,,
MODERATE,Low OA,C,18,3,14,6,171.0387778,,
HIGH,Moderate OA,A,19,3,14,6,176.7169444,,
HIGH,Moderate OA,B,20,3,14,6,176.058,,
HIGH,Moderate OA,C,21,3,14,6,176.7702128,,
LOW,Moderate OA,A,22,3,14,6,163.4050833,,
LOW,Moderate OA,B,23,3,14,6,151.3100833,,
LOW,Moderate OA,C,24,3,14,6,179.0858065,,
MODERATE,Moderate OA,A,25,3,14,6,167.1670513,,
MODERATE,Moderate OA,B,26,3,14,6,169.7538095,,
MODERATE,Moderate OA,C,27,3,14,6,164.9195139,,
