"","X","Date","pCO2_parents","pH_parents","pCO2_offspring","pH_offspring","Channel","Chamber_tank","Num_indivs","Lpc","BLANK.mean_Lpc","resp_blankStand","resp_mg_hr","resp_umol_hr","resp_umol_hr_indiv","Filename","Expeirment"
"18",53,"4/12/2023","1200 uatm",7,"1200 uatm",7,"B1","27",4,-0.020139395,0.005591218,0.014548177,6.98312496e-05,0.00218222655,0.0005455566375,"SDR_799_resp_Plate1.csv",6
"19",54,"4/12/2023","1200 uatm",7,"800 uatm",7.5,"B5","22",11,-0.008566676,0.006558652,0.002008024,9.6385152e-06,0.0003012036,2.73821454545455e-05,"SDR_979_resp_Plate3.csv",6
"20",55,"4/12/2023","1200 uatm",7,"800 uatm",7.5,"A4","24",4,-0.022823583,0.006558652,0.016264931,7.80716688e-05,0.00243973965,0.0006099349125,"SDR_873_resp_Plate2.csv",6
"21",56,"4/12/2023","800 uatm",7.5,"800 uatm",7.5,"C2","10",8,-0.013786945,0.006558652,0.007228293,3.46958064e-05,0.00108424395,0.00013553049375,"SDR_979_resp_Plate3.csv",6
"22",57,"4/12/2023","1200 uatm",7,"800 uatm",7.5,"A1","24",4,-0.019283551,0.006558652,0.012724899,6.10795152e-05,0.00190873485,0.0004771837125,"SDR_873_resp_Plate2.csv",6
"23",58,"4/12/2023","1200 uatm",7,"800 uatm",7.5,"A5","22",11,-0.014690315,0.006558652,0.008131663,3.90319824e-05,0.00121974945,0.000110886313636364,"SDR_979_resp_Plate3.csv",6
"24",59,"4/12/2023","800 uatm",7.5,"800 uatm",7.5,"B3","10",8,-0.01694707,0.006558652,0.010388418,4.98644064e-05,0.0015582627,0.0001947828375,"SDR_979_resp_Plate3.csv",6
"25",60,"4/12/2023","500 uatm",8,"800 uatm",7.5,"B5","8",3,-0.020977742,0.006558652,0.01441909,6.9211632e-05,0.0021628635,0.0007209545,"SDR_873_resp_Plate2.csv",6
"26",61,"4/12/2023","1200 uatm",7,"800 uatm",7.5,"A2","23",9,-0.016384177,0.006558652,0.009825525,4.716252e-05,0.00147382875,0.00016375875,"SDR_799_resp_Plate1.csv",6
"27",62,"4/12/2023","500 uatm",8,"800 uatm",7.5,"B2","9",4,-0.009836685,0.006558652,0.003278033,1.57345584e-05,0.00049170495,0.0001229262375,"SDR_873_resp_Plate2.csv",6
"28",63,"4/12/2023","800 uatm",7.5,"800 uatm",7.5,"C1","11",4,-0.011166195,0.006558652,0.004607543,2.21162064e-05,0.00069113145,0.0001727828625,"SDR_799_resp_Plate1.csv",6
"29",64,"4/12/2023","500 uatm",8,"800 uatm",7.5,"D6","7",3,-0.007117329,0.006558652,0.000558677,2.6816496e-06,8.38015500000001e-05,2.793385e-05,"SDR_873_resp_Plate2.csv",6
"30",65,"4/12/2023","500 uatm",8,"800 uatm",7.5,"B6","8",3,-0.015929059,0.006558652,0.009370407,4.49779536e-05,0.00140556105,0.00046852035,"SDR_873_resp_Plate2.csv",6
"31",66,"4/12/2023","800 uatm",7.5,"800 uatm",7.5,"D2","12",7,-0.008590036,0.006558652,0.002031384,9.7506432e-06,0.0003047076,4.35296571428572e-05,"SDR_799_resp_Plate1.csv",6
"32",67,"4/12/2023","1200 uatm",7,"800 uatm",7.5,"A5","23",9,-0.021703545,0.006558652,0.015144893,7.26954864e-05,0.00227173395,0.000252414883333333,"SDR_799_resp_Plate1.csv",6
"33",68,"4/12/2023","500 uatm",8,"800 uatm",7.5,"C3","9",4,-0.013731651,0.006558652,0.007172999,3.44303952e-05,0.00107594985,0.0002689874625,"SDR_873_resp_Plate2.csv",6
"34",69,"4/12/2023","800 uatm",7.5,"800 uatm",7.5,"C2","12",7,-0.015292339,0.006558652,0.008733687,4.19216976e-05,0.00131005305,0.000187150435714286,"SDR_799_resp_Plate1.csv",6
"35",70,"4/12/2023","800 uatm",7.5,"800 uatm",7.5,"B3","11",4,-0.013581034,0.006558652,0.007022382,3.37074336e-05,0.0010533573,0.000263339325,"SDR_799_resp_Plate1.csv",6
"36",71,"4/12/2023","500 uatm",8,"800 uatm",7.5,"D1","7",3,-0.012254361,0.006558652,0.005695709,2.73394032e-05,0.00085435635,0.00028478545,"SDR_873_resp_Plate2.csv",6
"37",72,"4/12/2023","1200 uatm",7,"500 uatm",8,"A1","20",6,-0.014401324,0.0066160525,0.0077852715,3.73693032e-05,0.001167790725,0.0001946317875,"SDR_799_resp_Plate1.csv",6
"38",73,"4/12/2023","500 uatm",8,"500 uatm",8,"D2","3",3,-0.018826887,0.0066160525,0.0122108345,5.86120056e-05,0.001831625175,0.000610541725,"SDR_873_resp_Plate2.csv",6
"39",74,"4/12/2023","1200 uatm",7,"500 uatm",8,"C3","19",6,-0.020179778,0.0066160525,0.0135637255,6.51058824e-05,0.002034558825,0.0003390931375,"SDR_799_resp_Plate1.csv",6
"40",75,"4/12/2023","500 uatm",8,"500 uatm",8,"A6","2",6,-0.019376683,0.0066160525,0.0127606305,6.12510264e-05,0.001914094575,0.0003190157625,"SDR_873_resp_Plate2.csv",6
"41",76,"4/12/2023","800 uatm",7.5,"500 uatm",8,"C3","4",7,-0.016899682,0.0066160525,0.0102836295,4.93614216e-05,0.001542544425,0.000220363489285714,"SDR_979_resp_Plate3.csv",6
"42",77,"4/12/2023","1200 uatm",7,"500 uatm",8,"A4","21",6,-0.024775044,0.0066160525,0.0181589915,8.71631592e-05,0.002723848725,0.0004539747875,"SDR_799_resp_Plate1.csv",6
"43",78,"4/12/2023","800 uatm",7.5,"500 uatm",8,"A3","5",9,-0.020120132,0.0066160525,0.0135040795,6.48195816e-05,0.002025611925,0.000225067991666667,"SDR_873_resp_Plate2.csv",6
"44",79,"4/12/2023","500 uatm",8,"500 uatm",8,"A3","1",6,-0.014820351,0.0066160525,0.0082042985,3.93806328e-05,0.001230644775,0.0002051074625,"SDR_979_resp_Plate3.csv",6
"45",80,"4/12/2023","800 uatm",7.5,"500 uatm",8,"A5","5",9,-0.016908871,0.0066160525,0.0102928185,4.94055288e-05,0.001543922775,0.000171546975,"SDR_873_resp_Plate2.csv",6
"46",81,"4/12/2023","1200 uatm",7,"500 uatm",8,"D5","19",6,-0.013870766,0.0066160525,0.0072547135,3.48226248e-05,0.001088207025,0.0001813678375,"SDR_799_resp_Plate1.csv",6
"47",82,"4/12/2023","800 uatm",7.5,"500 uatm",8,"C6","6",4,-0.019226238,0.0066160525,0.0126101855,6.05288904e-05,0.001891527825,0.00047288195625,"SDR_799_resp_Plate1.csv",6
"48",83,"4/12/2023","800 uatm",7.5,"500 uatm",8,"B5","6",4,-0.010746237,0.0066160525,0.0041301845,1.98248856e-05,0.000619527675,0.00015488191875,"SDR_799_resp_Plate1.csv",6
"49",84,"4/12/2023","1200 uatm",7,"500 uatm",8,"A6","20",6,-0.010145968,0.0066160525,0.0035299155,1.69435944e-05,0.000529487325,8.82478875e-05,"SDR_799_resp_Plate1.csv",6
"50",85,"4/12/2023","1200 uatm",7,"500 uatm",8,"B2","21",6,-0.00928755,0.0066160525,0.0026714975,1.2823188e-05,0.000400724625,6.67874375e-05,"SDR_799_resp_Plate1.csv",6
"51",86,"4/12/2023","500 uatm",8,"500 uatm",8,"C1","1",6,-0.008296056,0.0066160525,0.0016800035,8.0640168e-06,0.000252000525,4.20000875e-05,"SDR_979_resp_Plate3.csv",6
"52",87,"4/12/2023","500 uatm",8,"500 uatm",8,"B3","2",6,-0.02321376,0.0066160525,0.0165977075,7.9668996e-05,0.002489656125,0.0004149426875,"SDR_873_resp_Plate2.csv",6
"53",88,"4/12/2023","500 uatm",8,"500 uatm",8,"C1","3",3,-0.018571525,0.0066160525,0.0119554725,5.7386268e-05,0.001793320875,0.000597773625,"SDR_873_resp_Plate2.csv",6
"54",112,"4/21/2023","800 uatm",7.5,"1200 uatm",7,"A1","17",1,-0.006458509,0.00254561933333333,0.00391288966666667,1.87818704e-05,0.00058693345,0.00058693345,"SDR_979_resp_Plate3.csv",6
"55",113,"4/21/2023","1200 uatm",7,"1200 uatm",7,"D2","26",1,-0.003163662,0.00254561933333333,0.000618042666666666,2.9666048e-06,9.27064e-05,9.27064e-05,"SDR_799_resp_Plate1.csv",6
"56",114,"4/21/2023","800 uatm",7.5,"1200 uatm",7,"C4","16",1,-0.00289292,0.00254561933333333,0.000347300666666667,1.6670432e-06,5.20951e-05,5.20951e-05,"SDR_873_resp_Plate2.csv",6
"57",115,"4/21/2023","500 uatm",8,"1200 uatm",7,"B4","13",1,-0.003833468,0.00254561933333333,0.00128784866666667,6.1816736e-06,0.0001931773,0.0001931773,"SDR_873_resp_Plate2.csv",6
"58",116,"4/21/2023","500 uatm",8,"1200 uatm",7,"A5","15",2,-0.00321975,0.00254561933333333,0.000674130666666667,3.2358272e-06,0.0001011196,5.05598e-05,"SDR_873_resp_Plate2.csv",6
"59",117,"4/21/2023","800 uatm",7.5,"1200 uatm",7,"D2","17",1,-0.003138337,0.00254561933333333,0.000592717666666667,2.8450448e-06,8.890765e-05,8.890765e-05,"SDR_979_resp_Plate3.csv",6
"60",118,"4/21/2023","800 uatm",7.5,"1200 uatm",7,"B6","16",2,-0.004356521,0.00254561933333333,0.00181090166666667,8.692328e-06,0.00027163525,0.000135817625,"SDR_873_resp_Plate2.csv",6
"61",119,"4/21/2023","800 uatm",7.5,"1200 uatm",7,"B3","18",2,-0.009473868,0.00254561933333333,0.00692824866666667,3.32555936e-05,0.0010392373,0.00051961865,"SDR_979_resp_Plate3.csv",6
"62",120,"4/21/2023","500 uatm",8,"1200 uatm",7,"B5","14",1,-0.005033205,0.00254561933333333,0.00248758566666667,1.19404112e-05,0.00037313785,0.00037313785,"SDR_979_resp_Plate3.csv",6
"63",121,"4/21/2023","500 uatm",8,"1200 uatm",7,"D5","14",1,-0.004470013,0.00254561933333333,0.00192439366666667,9.2370896e-06,0.00028865905,0.00028865905,"SDR_979_resp_Plate3.csv",6
"64",122,"4/21/2023","500 uatm",8,"800 uatm",7.5,"B6","7",1,-0.004679563,0.00194068133333333,0.00273888166666667,1.3146632e-05,0.00041083225,0.00041083225,"SDR_979_resp_Plate3.csv",6
"65",123,"4/21/2023","500 uatm",8,"800 uatm",7.5,"A4","7",1,-0.003795432,0.00194068133333333,0.00185475066666667,8.9028032e-06,0.0002782126,0.0002782126,"SDR_979_resp_Plate3.csv",6
"66",124,"4/21/2023","800 uatm",7.5,"800 uatm",7.5,"C2","10",1,-0.003772638,0.00194068133333333,0.00183195666666667,8.793392e-06,0.0002747935,0.0002747935,"SDR_799_resp_Plate1.csv",6
"67",125,"4/21/2023","800 uatm",7.5,"800 uatm",7.5,"C5","12",1,-0.002671347,0.00194068133333333,0.000730665666666667,3.5071952e-06,0.00010959985,0.00010959985,"SDR_873_resp_Plate2.csv",6
"68",126,"4/21/2023","800 uatm",7.5,"800 uatm",7.5,"C1","12",1,-0.003479118,0.00194068133333333,0.00153843666666667,7.384496e-06,0.0002307655,0.0002307655,"SDR_873_resp_Plate2.csv",6
"69",127,"4/21/2023","1200 uatm",7,"800 uatm",7.5,"A6","22",1,-0.003356681,0.00194068133333333,0.00141599966666667,6.7967984e-06,0.00021239995,0.00021239995,"SDR_873_resp_Plate2.csv",6
"70",128,"4/21/2023","500 uatm",8,"800 uatm",7.5,"A2","8",1,-0.004809184,0.00194068133333333,0.00286850266666667,1.37688128e-05,0.0004302754,0.0004302754,"SDR_979_resp_Plate3.csv",6
"71",129,"4/21/2023","1200 uatm",7,"800 uatm",7.5,"B2","24",1,-0.002309598,0.00194068133333333,0.000368916666666667,1.7708e-06,5.53375e-05,5.53375e-05,"SDR_873_resp_Plate2.csv",6
"72",130,"4/21/2023","500 uatm",8,"800 uatm",7.5,"D1","8",1,-0.002676558,0.00194068133333333,0.000735876666666667,3.532208e-06,0.0001103815,0.0001103815,"SDR_979_resp_Plate3.csv",6
"73",131,"4/21/2023","800 uatm",7.5,"500 uatm",8,"B5","5",1,-0.00306519,0.00225175466666667,0.000813435333333334,3.9044896e-06,0.0001220153,0.0001220153,"SDR_873_resp_Plate2.csv",6
"74",132,"4/21/2023","500 uatm",8,"500 uatm",8,"A3","1",1,-0.005273394,0.00225175466666667,0.00302163933333333,1.45038688e-05,0.0004532459,0.0004532459,"SDR_979_resp_Plate3.csv",6
"75",133,"4/21/2023","500 uatm",8,"500 uatm",8,"B2","3",1,-0.006593469,0.00225175466666667,0.00434171433333333,2.08402288e-05,0.00065125715,0.00065125715,"SDR_979_resp_Plate3.csv",6
"76",134,"4/21/2023","500 uatm",8,"500 uatm",8,"A5","1",1,-0.00541805,0.00225175466666667,0.00316629533333333,1.51982176e-05,0.0004749443,0.0004749443,"SDR_979_resp_Plate3.csv",6
"77",135,"4/21/2023","800 uatm",7.5,"500 uatm",8,"A1","5",1,-0.002328,0.00225175466666667,7.62453333333336e-05,3.65977600000001e-07,1.14368e-05,1.14368e-05,"SDR_873_resp_Plate2.csv",6
"78",136,"4/21/2023","500 uatm",8,"500 uatm",8,"C4","3",1,-0.004800432,0.00225175466666667,0.00254867733333333,1.22336512e-05,0.0003823016,0.0003823016,"SDR_979_resp_Plate3.csv",6
"79",137,"4/21/2023","500 uatm",8,"500 uatm",8,"C2","2",1,-0.003263674,0.00225175466666667,0.00101191933333333,4.8572128e-06,0.0001517879,0.0001517879,"SDR_873_resp_Plate2.csv",6
"80",176,"4/7/2023","800 uatm",7.5,"1200 uatm",7,"B3","18",9,-0.024231322,0.005247621,0.018983701,9.11217648e-05,0.00284755515,0.000316395016666667,"SDR_979_resp_Plate3.csv",6
"81",177,"4/7/2023","500 uatm",8,"1200 uatm",7,"A3","15",6,-0.009691317,0.005247621,0.004443696,2.13297408e-05,0.0006665544,0.0001110924,"SDR_979_resp_Plate3.csv",6
"82",178,"4/7/2023","500 uatm",8,"1200 uatm",7,"B4","14",10,-0.012539104,0.005247621,0.007291483,3.49991184e-05,0.00109372245,0.000109372245,"SDR_873_resp_Plate2.csv",6
"83",179,"4/7/2023","1200 uatm",7,"1200 uatm",7,"C6","25",9,-0.007057558,0.005247621,0.001809937,8.6876976e-06,0.00027149055,3.01656166666667e-05,"SDR_799_resp_Plate1.csv",6
"84",180,"4/7/2023","800 uatm",7.5,"1200 uatm",7,"C2","16",9,-0.014369748,0.005247621,0.009122127,4.37862096e-05,0.00136831905,0.00015203545,"SDR_979_resp_Plate3.csv",6
"85",181,"4/7/2023","500 uatm",8,"1200 uatm",7,"A5","14",10,-0.02871226,0.005247621,0.023464639,0.0001126302672,0.00351969585,0.000351969585,"SDR_873_resp_Plate2.csv",6
"86",182,"4/7/2023","500 uatm",8,"1200 uatm",7,"C6","13",7,-0.019966572,0.005247621,0.014718951,7.06509648e-05,0.00220784265,0.000315406092857143,"SDR_873_resp_Plate2.csv",6
"87",183,"4/7/2023","500 uatm",8,"1200 uatm",7,"A5","15",6,-0.013756154,0.005247621,0.008508533,4.08409584e-05,0.00127627995,0.000212713325,"SDR_979_resp_Plate3.csv",6
"88",184,"4/7/2023","800 uatm",7.5,"1200 uatm",7,"B1","17",4,-0.007662102,0.005247621,0.002414481,1.15895088e-05,0.00036217215,9.05430375e-05,"SDR_873_resp_Plate2.csv",6
"89",185,"4/7/2023","800 uatm",7.5,"1200 uatm",7,"B1","18",9,-0.040268775,0.005247621,0.035021154,0.0001681015392,0.0052531731,0.0005836859,"SDR_979_resp_Plate3.csv",6
"90",186,"4/7/2023","1200 uatm",7,"1200 uatm",7,"A4","26",8,-0.014288274,0.005247621,0.009040653,4.33951344e-05,0.00135609795,0.00016951224375,"SDR_799_resp_Plate1.csv",6
"91",187,"4/7/2023","1200 uatm",7,"1200 uatm",7,"B3","27",9,-0.013725658,0.005247621,0.008478037,4.06945776e-05,0.00127170555,0.000141300616666667,"SDR_799_resp_Plate1.csv",6
"92",188,"4/7/2023","800 uatm",7.5,"1200 uatm",7,"B3","17",4,-0.011491228,0.005247621,0.006243607,2.99693136e-05,0.00093654105,0.0002341352625,"SDR_873_resp_Plate2.csv",6
"93",189,"4/7/2023","500 uatm",8,"1200 uatm",7,"D5","13",7,-0.015883594,0.005247621,0.010635973,5.10526704e-05,0.00159539595,0.000227913707142857,"SDR_873_resp_Plate2.csv",6
"94",190,"4/7/2023","800 uatm",7.5,"1200 uatm",7,"D5","16",9,-0.007411688,0.005247621,0.002164067,1.03875216e-05,0.00032461005,3.60677833333333e-05,"SDR_979_resp_Plate3.csv",6
"95",191,"4/7/2023","1200 uatm",7,"1200 uatm",7,"B5","27",9,-0.005486858,0.005247621,0.000239237,1.1483376e-06,3.588555e-05,3.98728333333333e-06,"SDR_799_resp_Plate1.csv",6
"96",192,"4/7/2023","500 uatm",8,"800 uatm",7.5,"D1","8",8,-0.017539254,0.007233972,0.010305282,4.94653536e-05,0.0015457923,0.0001932240375,"SDR_873_resp_Plate2.csv",6
"97",193,"4/7/2023","1200 uatm",7,"800 uatm",7.5,"A2","24",6,-0.018579552,0.007233972,0.01134558,5.4458784e-05,0.001701837,0.0002836395,"SDR_979_resp_Plate3.csv",6
"98",194,"4/7/2023","1200 uatm",7,"800 uatm",7.5,"D1","23",5,-0.012790443,0.007233972,0.005556471,2.66710608e-05,0.00083347065,0.00016669413,"SDR_799_resp_Plate1.csv",6
"99",195,"4/7/2023","1200 uatm",7,"800 uatm",7.5,"B6","22",8,-0.008135889,0.007233972,0.000901917,4.3292016e-06,0.00013528755,1.691094375e-05,"SDR_873_resp_Plate2.csv",6
"100",196,"4/7/2023","500 uatm",8,"800 uatm",7.5,"C4","7",4,-0.019297199,0.007233972,0.012063227,5.79034896e-05,0.00180948405,0.0004523710125,"SDR_979_resp_Plate3.csv",6
"101",197,"4/7/2023","800 uatm",7.5,"800 uatm",7.5,"B1","10",11,-0.016453228,0.007233972,0.009219256,4.42524288e-05,0.0013828884,0.000125717127272727,"SDR_799_resp_Plate1.csv",6
"102",198,"4/7/2023","1200 uatm",7,"800 uatm",7.5,"A6","22",8,-0.013664919,0.007233972,0.006430947,3.08685456e-05,0.00096464205,0.00012058025625,"SDR_873_resp_Plate2.csv",6
"103",199,"4/7/2023","500 uatm",8,"800 uatm",7.5,"C1","9",5,-0.010490991,0.007233972,0.003257019,1.56336912e-05,0.00048855285,9.771057e-05,"SDR_979_resp_Plate3.csv",6
"104",200,"4/7/2023","800 uatm",7.5,"800 uatm",7.5,"A2","11",13,-0.016245377,0.007233972,0.009011405,4.3254744e-05,0.00135171075,0.00010397775,"SDR_873_resp_Plate2.csv",6
"105",201,"4/7/2023","800 uatm",7.5,"800 uatm",7.5,"A3","11",13,-0.021728417,0.007233972,0.014494445,6.9573336e-05,0.00217416675,0.000167243596153846,"SDR_873_resp_Plate2.csv",6
"106",202,"4/7/2023","500 uatm",8,"800 uatm",7.5,"C3","8",8,-0.017076102,0.007233972,0.00984213,4.7242224e-05,0.0014763195,0.0001845399375,"SDR_873_resp_Plate2.csv",6
"107",203,"4/7/2023","800 uatm",7.5,"800 uatm",7.5,"D3","12",10,-0.012258433,0.007233972,0.005024461,2.41174128e-05,0.00075366915,7.5366915e-05,"SDR_799_resp_Plate1.csv",6
"108",204,"4/7/2023","500 uatm",8,"800 uatm",7.5,"D1","9",5,-0.0178917,0.007233972,0.010657728,5.11570944e-05,0.0015986592,0.00031973184,"SDR_979_resp_Plate3.csv",6
"109",205,"4/7/2023","1200 uatm",7,"800 uatm",7.5,"A6","24",6,-0.014191453,0.007233972,0.006957481,3.33959088e-05,0.00104362215,0.000173937025,"SDR_979_resp_Plate3.csv",6
"110",206,"4/7/2023","1200 uatm",7,"800 uatm",7.5,"C4","23",5,-0.013922097,0.007233972,0.006688125,3.2103e-05,0.00100321875,0.00020064375,"SDR_799_resp_Plate1.csv",6
"111",207,"4/7/2023","800 uatm",7.5,"500 uatm",8,"A1","6",7,-0.013027011,0.00704089566666667,0.00598611533333333,2.87333536e-05,0.0008979173,0.0001282739,"SDR_799_resp_Plate1.csv",6
"112",208,"4/7/2023","1200 uatm",7,"500 uatm",8,"A1","20",6,-0.017584721,0.00704089566666667,0.0105438253333333,5.06103616e-05,0.0015815738,0.000263595633333333,"SDR_873_resp_Plate2.csv",6
"113",209,"4/7/2023","500 uatm",8,"500 uatm",8,"A1","1",7,-0.014797243,0.00704089566666667,0.00775634733333333,3.72304672e-05,0.0011634521,0.000166207442857143,"SDR_979_resp_Plate3.csv",6
"114",210,"4/7/2023","800 uatm",7.5,"500 uatm",8,"B5","4",11,-0.028776751,0.00704089566666667,0.0217358553333333,0.0001043321056,0.0032603783,0.000296398027272727,"SDR_873_resp_Plate2.csv",6
"115",211,"4/7/2023","800 uatm",7.5,"500 uatm",8,"A3","6",7,-0.017864609,0.00704089566666667,0.0108237133333333,5.1953824e-05,0.001623557,0.000231936714285714,"SDR_799_resp_Plate1.csv",6
"116",212,"4/7/2023","1200 uatm",7,"500 uatm",8,"B2","21",9,-0.012129981,0.00704089566666667,0.00508908533333333,2.44276096e-05,0.0007633628,8.48180888888889e-05,"SDR_799_resp_Plate1.csv",6
"117",213,"4/7/2023","1200 uatm",7,"500 uatm",8,"B2","20",6,-0.013216243,0.00704089566666667,0.00617534733333333,2.96416672e-05,0.0009263021,0.000154383683333333,"SDR_873_resp_Plate2.csv",6
"118",214,"4/7/2023","800 uatm",7.5,"500 uatm",8,"A4","4",11,-0.024311485,0.00704089566666667,0.0172705893333333,8.28988288e-05,0.0025905884,0.000235508036363636,"SDR_873_resp_Plate2.csv",6
"119",215,"4/7/2023","500 uatm",8,"500 uatm",8,"A4","1",7,-0.014454342,0.00704089566666667,0.00741344633333333,3.55845424e-05,0.00111201695,0.000158859564285714,"SDR_979_resp_Plate3.csv",6
"120",216,"4/7/2023","800 uatm",7.5,"500 uatm",8,"A5","6",7,-0.021325946,0.00704089566666667,0.0142850503333333,6.85682416e-05,0.00214275755,0.000306108221428571,"SDR_799_resp_Plate1.csv",6
"121",217,"4/7/2023","1200 uatm",7,"500 uatm",8,"D2","19",9,-0.013983428,0.00704089566666667,0.00694253233333333,3.33241552e-05,0.00104137985,0.000115708872222222,"SDR_799_resp_Plate1.csv",6
"122",218,"4/7/2023","1200 uatm",7,"500 uatm",8,"B4","21",9,-0.009482664,0.00704089566666667,0.00244176833333333,1.1720488e-05,0.00036626525,4.06961388888889e-05,"SDR_799_resp_Plate1.csv",6
"123",219,"4/7/2023","500 uatm",8,"500 uatm",8,"D2","3",8,-0.009873846,0.00704089566666667,0.00283295033333333,1.35981616e-05,0.00042494255,5.311781875e-05,"SDR_979_resp_Plate3.csv",6
"124",220,"4/7/2023","800 uatm",7.5,"500 uatm",8,"C4","5",8,-0.023786325,0.00704089566666667,0.0167454293333333,8.03780608e-05,0.0025118144,0.0003139768,"SDR_873_resp_Plate2.csv",6
"125",221,"4/7/2023","500 uatm",8,"500 uatm",8,"D4","3",8,-0.012343874,0.00704089566666667,0.00530297833333333,2.5454296e-05,0.00079544675,9.943084375e-05,"SDR_979_resp_Plate3.csv",6
"126",222,"4/7/2023","500 uatm",8,"500 uatm",8,"B2","2",6,-0.013352767,0.00704089566666667,0.00631187133333333,3.02969824e-05,0.0009467807,0.000157796783333333,"SDR_979_resp_Plate3.csv",6
"127",223,"4/7/2023","800 uatm",7.5,"500 uatm",8,"C1","5",8,-0.018936842,0.00704089566666667,0.0118959463333333,5.71005424e-05,0.00178439195,0.00022304899375,"SDR_873_resp_Plate2.csv",6
"128",224,"4/7/2023","500 uatm",8,"500 uatm",8,"B5","2",6,-0.013265726,0.00704089566666667,0.00622483033333333,2.98791856e-05,0.00093372455,0.000155620758333333,"SDR_979_resp_Plate3.csv",6
"129",225,"4/7/2023","1200 uatm",7,"500 uatm",8,"C1","19",9,-0.013476041,0.00704089566666667,0.00643514533333333,3.08886976e-05,0.0009652718,0.000107252422222222,"SDR_799_resp_Plate1.csv",6
